♂1,♂2,♂3,♂4,♂5,♂6,♂7,♂8,♂9,♂10,♀1,♀2,♀3,♀4,♀5,♀6,♀7,♀8,♀9,♀10
1.03,1.62,0.59,0.94,0.90,1.28,0.98,1.03,0.93,0.89,12.30,7.40,7.25,6.74,12.80,6.66,6.86,7.25,5.05,12.16
1.13,0.91,0.81,0.94,0.72,0.80,0.83,0.45,0.81,0.97,8.12,4.40,5.29,3.33,4.94,4.37,8.40,6.77,7.48,5.95
0.87,0.55,0.75,0.31,0.76,0.40,1.22,1.11,0.89,0.52,4.24,3.15,3.32,3.96,4.70,3.03,3.93,3.37,4.69,3.32
0.97,0.52,0.62,0.55,0.80,0.81,0.94,0.83,0.58,0.50,5.64,6.40,5.76,7.44,6.57,4.36,8.51,6.54,5.46,6.15
0.90,0.87,0.75,0.98,0.98,0.83,0.64,0.80,0.74,0.76,5.26,6.03,6.40,6.83,7.49,7.65,7.33,6.16,7.16,6.99
1.01,1.00,0.92,0.94,0.86,1.08,1.03,0.84,0.92,0.95,5.95,8.54,6.22,6.73,6.31,8.55,5.66,6.63,6.78,6.76
0.92,0.72,0.58,0.64,0.84,0.64,0.53,0.94,0.72,1.22,10.23,9.04,8.56,8.30,8.39,8.21,8.18,7.97,8.88,7.71
1.31,0.71,0.84,0.96,1.08,1.11,0.72,0.86,0.91,0.77,9.60,10.79,10.82,9.14,10.17,9.53,10.26,11.26,7.56,7.46
0.36,0.49,0.43,0.34,0.55,0.69,0.29,0.71,0.32,0.54,1.98,2.26,1.85,1.60,1.46,3.46,3.05,2.66,1.95,3.05
0.51,0.29,0.40,0.45,0.61,0.59,0.59,0.43,0.53,0.49,1.80,1.77,1.72,1.75,1.96,1.85,2.10,1.18,1.81,1.50
